Code,Country or region,Local authority,Number of meters (thousands): Domestic Standard,Number of meters (thousands): Domestic E7,Number of meters (thousands): All Domestic,Number of meters (thousands): All Non-Domestic,Number of meters (thousands): All meters,Total consumption (GWh): Domestic Standard,Total consumption (GWh): Domestic E7,Total consumption (GWh): All Domestic,Total consumption (GWh): All Non-Domestic,Total consumption  (GWh): All meters
E06000001,North East,Hartlepool,42.5,1.6,44.1,3,47.1,112.3,6.8,119.1,280.9,400
E06000002,North East,Middlesbrough,61.2,2.7,63.9,4.2,68.1,164.7,9.6,174.4,233.1,407.5
E06000003,North East,Redcar and Cleveland,62.9,2.7,65.6,3.8,69.4,163.5,11.2,174.7,557.4,732.2
E06000004,North East,Stockton-on-Tees,85.7,3,88.7,5.4,94.1,236.7,12.8,249.5,771.8,"1,021.40"
E06000005,North East,Darlington,49.6,2.7,52.3,3.7,56,136.1,12.8,148.9,256.4,405.3
E06000047,North East,County Durham,240.9,6.7,247.6,16.2,263.7,643.1,34.5,677.6,"1,064.10","1,741.70"
E06000057,North East,Northumberland,150.2,10.1,160.3,13.9,174.2,439.8,54.6,494.4,902.7,"1,397.10"
E08000021,North East,Newcastle upon Tyne,121.8,9.8,131.6,9.7,141.3,328.2,46.1,374.3,661.6,"1,035.90"
E08000022,North East,North Tyneside,96.4,4.6,101,5.7,106.8,244,20.2,264.2,429.5,693.7
E08000023,North East,South Tyneside,70.4,1.5,71.9,3.9,75.8,171.7,6.3,178.1,181.2,359.3
E08000024,North East,Sunderland,126.8,4.3,131.1,8,139.1,326.2,18.1,344.3,697.8,"1,042.00"
E08000037,North East,Gateshead,89.8,4.2,94,6.2,100.2,231.3,19.4,250.7,493.2,743.9
E06000006,North West,Halton,56,1.3,57.4,3.4,60.8,156.8,6,162.8,445,607.8
E06000007,North West,Warrington,90.9,3.4,94.4,6.2,100.6,268.5,16.7,285.2,533.7,818.9
E06000008,North West,Blackburn with Darwen,58.4,3.1,61.5,4.9,66.4,171.7,13.6,185.3,335.7,520.9
E06000009,North West,Blackpool,60.8,6,66.8,6.6,73.3,175.8,27,202.8,257.1,459.9
E06000049,North West,Cheshire East,171.4,12.3,183.7,14,197.8,563.2,67.5,630.7,894.2,"1,524.90"
E06000050,North West,Cheshire West and Chester,152.7,8.1,160.8,11.6,172.4,470.5,43.2,513.7,"1,317.70","1,831.40"
E06000063,North West,Cumberland,123.1,10.7,133.8,13.4,147.2,358.4,61.1,419.5,715.2,"1,134.70"
E06000064,North West,Westmorland and Furness,101,14.3,115.3,14.4,129.6,312.9,88.4,401.2,857.7,"1,258.90"
E07000117,North West,Burnley,39.9,1.7,41.6,3.1,44.7,109.9,7.8,117.7,195.8,313.5
E07000118,North West,Chorley,49,2.6,51.6,3.5,55.1,150.2,13.1,163.3,181.2,344.5
E07000119,North West,Fylde,35.8,4.3,40,3.4,43.4,111.6,21.6,133.2,196.4,329.7
E07000120,North West,Hyndburn,35.2,1.6,36.8,2.9,39.7,96,7.1,103.2,169.2,272.4
E07000121,North West,Lancaster,57.8,5.4,63.3,5.7,69,169.5,28.4,197.9,293.4,491.3
E07000122,North West,Pendle,38.5,1.9,40.5,3.1,43.6,110.5,8.6,119.1,180.1,299.2
E07000123,North West,Preston,60.1,4.6,64.7,5.5,70.2,177.5,22.1,199.6,335.8,535.3
E07000124,North West,Ribble Valley,26.4,1.9,28.2,2.9,31.2,90.3,12.7,103,310.2,413.3
E07000125,North West,Rossendale,30.4,1.6,32,2.5,34.4,93.8,7.8,101.6,191.7,293.2
E07000126,North West,South Ribble,48.7,2.3,51,3.5,54.5,142.3,11.2,153.6,258.1,411.7
E07000127,North West,West Lancashire,47.3,3,50.3,3.9,54.2,152.9,15.4,168.3,366.2,534.5
E07000128,North West,Wyre,48.7,4.1,52.8,4.3,57.1,145.7,20.7,166.4,288.8,455.2
E08000001,North West,Bolton,117.5,7.9,125.4,8.1,133.5,342.9,37.5,380.3,476,856.3
